ID;start;end;code;group;text;code2;R;G;B
1624;3511,438888;3544,25794;Aanvallen;Van speler;gAAAAABYrzOVu07KVRTpI0NfBD9yvj4gdiheh-JLnohf8PLC_ONVd1qMQirQHtYINjyVd7WMz6ej0HNZ8B_e1ol-tYfJl53vNQ==;;;;
1624;3511,438888;3544,25794;Aanvallen;Rendement;Foul TEG;;;;
1625;3512,438888;3513,438888;Start;;;;;;
1626;3512,684837;3524,10461;gAAAAABYrzOVu07KVRTpI0NfBD9yvj4gdiheh-JLnohf8PLC_ONVd1qMQirQHtYINjyVd7WMz6ej0HNZ8B_e1ol-tYfJl53vNQ==;Van speler;gAAAAABYrzOVSudcGv66Au_EnahWmQuoVeIKwHUcgx6OmLMa-VAZLK5XyItyqGPbTMmk0hUCPehDhET7ODuCuXikiFGPAYG5Fg==;;;;
1626;3512,684837;3524,10461;gAAAAABYrzOVu07KVRTpI0NfBD9yvj4gdiheh-JLnohf8PLC_ONVd1qMQirQHtYINjyVd7WMz6ej0HNZ8B_e1ol-tYfJl53vNQ==;Naar zone;L2 NEC;;;;
1626;3512,684837;3524,10461;gAAAAABYrzOVu07KVRTpI0NfBD9yvj4gdiheh-JLnohf8PLC_ONVd1qMQirQHtYINjyVd7WMz6ej0HNZ8B_e1ol-tYfJl53vNQ==;Naar speler;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1627;3514,036798;3520,452728;M2 NEC;Naar speler;gAAAAABYrzOVu07KVRTpI0NfBD9yvj4gdiheh-JLnohf8PLC_ONVd1qMQirQHtYINjyVd7WMz6ej0HNZ8B_e1ol-tYfJl53vNQ==;;;;
1627;3514,036798;3520,452728;M2 NEC;Van speler;gAAAAABYrzOVSudcGv66Au_EnahWmQuoVeIKwHUcgx6OmLMa-VAZLK5XyItyqGPbTMmk0hUCPehDhET7ODuCuXikiFGPAYG5Fg==;;;;
1627;3514,036798;3520,452728;M2 NEC;Naar zone;L2 NEC;;;;
1628;3517,41261;3527,695478;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;Van speler;gAAAAABYrzOVu07KVRTpI0NfBD9yvj4gdiheh-JLnohf8PLC_ONVd1qMQirQHtYINjyVd7WMz6ej0HNZ8B_e1ol-tYfJl53vNQ==;;;;
1628;3517,41261;3527,695478;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;Naar speler;gAAAAABYrzOVu07KVRTpI0NfBD9yvj4gdiheh-JLnohf8PLC_ONVd1qMQirQHtYINjyVd7WMz6ej0HNZ8B_e1ol-tYfJl53vNQ==;;;;
