start_time;ID;start;end;code;group;text;code2;R;G;B
2016-04-20 18:01:49.97 +0200;724;1647,182184;1662,182184;Vrije trap NEC;Van speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;724;1647,182184;1662,182184;Vrije trap NEC;Rendement;Doelpoging;;;;
2016-04-20 18:01:49.97 +0200;725;1650,482435;1665,746275;17d904e1c0cf4cb6bd7e3613675d443d;Van speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;725;1650,482435;1665,746275;17d904e1c0cf4cb6bd7e3613675d443d;Rendement;Doelpoging;;;;
2016-04-20 18:01:49.97 +0200;726;1652,84596;1659,746275;M4 NEC;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;726;1652,84596;1659,746275;M4 NEC;Van speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;726;1652,84596;1659,746275;M4 NEC;Rendement;Doelpoging;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Naar zone;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Naar zone;M2 TEG;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Start;KP worp;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Storen NEC;Druk;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Storen NEC;Compact;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Naar zone;R2 TEG;;;;
